,A�o,Equipo,Nombre ,Nacionalidad,Edad,Posicion 
410,2016,Atletico de Madrid,Ángel Correa,Argentina,21,Delantero centro
411,2016,Atletico de Madrid,Antoine Griezmann,Francia,25,Delantero centro
412,2016,Atletico de Madrid,Luciano Vietto,Argentina,22,Delantero centro
413,2016,Atletico de Madrid,Jackson Martínez,Colombia,29,Delantero centro
414,2016,Atletico de Madrid,Raúl García ,España,29,Delantero centro
415,2016,Atletico de Madrid,Fernando Torres,España,32,Delantero centro
416,2016,Atletico de Madrid,Roberto Núñez,España,20,Delantero centro
417,2017,Real Madrid,Keylor Navas,Costa rica,30,Portero
418,2017,Real Madrid,Kiko Casilla,España,30,Portero
419,2017,Real Madrid,Rubén Yáñez,España,23,Portero
420,2017,Real Madrid,Sergio Ramos,España,31,Defensa central 
421,2017,Real Madrid,Raphaël Varane ,Francia,24,Defensa central 
422,2017,Real Madrid,Danilo,Brasil,25,Lateral derecho
423,2017,Real Madrid,Pepe,Portugal,34,Defensa central 
424,2017,Real Madrid,Nacho Fernández,España,27,Defensa central 
425,2017,Real Madrid,Marcelo,Brasil,29,Lateral izquierdo
426,2017,Real Madrid,Fabio Coentrão,Portugal,29,Lateral izquierdo
427,2017,Real Madrid,Daniel Carvajal,España,25,Lateral derecho
428,2017,Real Madrid,Lucas Vázquez,España,25,Lateral derecho
429,2017,Real Madrid,Achraf Hakimi,Marruecos,18,Lateral derecho
430,2017,Real Madrid,Álvaro Tejero,España,20,Lateral derecho
431,2017,Real Madrid,Casemiro,Brasil,25,Mediocampista defensivo
432,2017,Real Madrid,Toni Kroos,Alemania,27,Mediocampista
433,2017,Real Madrid,Luka Modric,Croacia,31,Mediocampista
434,2017,Real Madrid,Mateo Kovacic,Croacia,23,Mediocampista
435,2017,Real Madrid,Marcos Llorente,España,22,Mediocampista defensivo
436,2017,Real Madrid,James Rodríguez,Colombia,25,Mediocampista ofensivo
437,2017,Real Madrid,Isco,España,25,Mediocampista ofensivo
438,2017,Real Madrid,Martin Ødegaard,Noruega,18,Mediocampista ofensivo
439,2017,Real Madrid,Enzo Zidane,Francia,22,Mediocampista ofensivo
440,2017,Real Madrid,Marco Asensio,España,21,Extremo izquierdo
441,2017,Real Madrid,Mariano Díaz,Republica dominicana,23,Delantero centro
442,2017,Real Madrid,Gareth Bale,Gales,27,Extremo derecho
