,Año,Equipo,Nombre,Nacionalidad,Edad,Posicion,season,winner-country,winner,score,runner-up,runner-up-country,stadium,final-city,final-country,attendance,winning-way,year,winner_score,runner_up_score
116,2012,Bayern Munich,Breno,Brasil,22,Defensa central ,2011–12,Inglaterra,Chelsea,1–1,Bayern Munich,Alemania,Allianz Arena,Munich,Alemania,62500,penalty,2012,1,1
117,2012,Bayern Munich,Danijel Pranji,Croacia,30,Lateral izquierdo,2011–12,Inglaterra,Chelsea,1–1,Bayern Munich,Alemania,Allianz Arena,Munich,Alemania,62500,penalty,2012,1,1
118,2012,Bayern Munich,Diego Contento,Alemania,22,Lateral izquierdo,2011–12,Inglaterra,Chelsea,1–1,Bayern Munich,Alemania,Allianz Arena,Munich,Alemania,62500,penalty,2012,1,1
119,2012,Bayern Munich,Philipp Lahm,Alemania,28,Lateral derecho,2011–12,Inglaterra,Chelsea,1–1,Bayern Munich,Alemania,Allianz Arena,Munich,Alemania,62500,penalty,2012,1,1
120,2012,Bayern Munich,Rafinha,Brasil,26,Lateral Derecho,2011–12,Inglaterra,Chelsea,1–1,Bayern Munich,Alemania,Allianz Arena,Munich,Alemania,62500,penalty,2012,1,1
121,2012,Bayern Munich,Luis Gustavo,Brasil,24,Mediocampista defensivo,2011–12,Inglaterra,Chelsea,1–1,Bayern Munich,Alemania,Allianz Arena,Munich,Alemania,62500,penalty,2012,1,1
122,2012,Bayern Munich,Anatoliy Tymoshchuk,Ucrania,33,Mediocampista defensivo,2011–12,Inglaterra,Chelsea,1–1,Bayern Munich,Alemania,Allianz Arena,Munich,Alemania,62500,penalty,2012,1,1
123,2012,Bayern Munich,Emre Can,Alemania,18,Mediocampista defensivo,2011–12,Inglaterra,Chelsea,1–1,Bayern Munich,Alemania,Allianz Arena,Munich,Alemania,62500,penalty,2012,1,1
124,2012,Bayern Munich,Bastian Schweinsteiger,Alemania,27,Mediocentro,2011–12,Inglaterra,Chelsea,1–1,Bayern Munich,Alemania,Allianz Arena,Munich,Alemania,62500,penalty,2012,1,1
125,2012,Bayern Munich,Toni Kroos,Alemania,22,Mediocentro,2011–12,Inglaterra,Chelsea,1–1,Bayern Munich,Alemania,Allianz Arena,Munich,Alemania,62500,penalty,2012,1,1
126,2012,Bayern Munich,Franck RibÃ©ry,Francia,29,Extremo izquierdo,2011–12,Inglaterra,Chelsea,1–1,Bayern Munich,Alemania,Allianz Arena,Munich,Alemania,62500,penalty,2012,1,1
127,2012,Bayern Munich,Arjen Robben,Paises Bajos,28,Extremo derecho,2011–12,Inglaterra,Chelsea,1–1,Bayern Munich,Alemania,Allianz Arena,Munich,Alemania,62500,penalty,2012,1,1
128,2012,Bayern Munich,Thomas MÃ¼ller,Alemania,22,Mediocampista ofensivo,2011–12,Inglaterra,Chelsea,1–1,Bayern Munich,Alemania,Allianz Arena,Munich,Alemania,62500,penalty,2012,1,1
129,2012,Bayern Munich,Mario GÃ³mez,Alemania,26,Delantero centro,2011–12,Inglaterra,Chelsea,1–1,Bayern Munich,Alemania,Allianz Arena,Munich,Alemania,62500,penalty,2012,1,1
130,2012,Bayern Munich,Ivica Oli,Croacia,32,Delantero centro,2011–12,Inglaterra,Chelsea,1–1,Bayern Munich,Alemania,Allianz Arena,Munich,Alemania,62500,penalty,2012,1,1
