Año,Equipo,Nombre ,Nacionalidad,Edad,Posicion 
2017,Real Madrid,Rubén Yáñez,España,23,Portero
2017,Real Madrid,Sergio Ramos,España,31,Defensa central 
2017,Real Madrid,Raphaël Varane ,Francia,24,Defensa central 
2017,Real Madrid,Danilo,Brasil,25,Lateral derecho
2017,Real Madrid,Pepe,Portugal,34,Defensa central 
2017,Real Madrid,Nacho Fernández,España,27,Defensa central 
2017,Real Madrid,Marcelo,Brasil,29,Lateral izquierdo
2017,Real Madrid,Fabio Coentrão,Portugal,29,Lateral izquierdo
2017,Real Madrid,Daniel Carvajal,España,25,Lateral derecho
2017,Real Madrid,Lucas Vázquez,España,25,Lateral derecho
2017,Real Madrid,Achraf Hakimi,Marruecos,18,Lateral derecho
2017,Real Madrid,Álvaro Tejero,España,20,Lateral derecho
2017,Real Madrid,Casemiro,Brasil,25,Mediocampista defensivo
2017,Real Madrid,Toni Kroos,Alemania,27,Mediocampista
2017,Real Madrid,Luka Modric,Croacia,31,Mediocampista
2017,Real Madrid,Mateo Kovacic,Croacia,23,Mediocampista
2017,Real Madrid,Marcos Llorente,España,22,Mediocampista defensivo
2017,Real Madrid,James Rodríguez,Colombia,25,Mediocampista ofensivo
2017,Real Madrid,Isco,España,25,Mediocampista ofensivo
2017,Real Madrid,Martin Ødegaard,Noruega,18,Mediocampista ofensivo
2017,Real Madrid,Enzo Zidane,Francia,22,Mediocampista ofensivo
2017,Real Madrid,Marco Asensio,España,21,Extremo izquierdo
2017,Real Madrid,Mariano Díaz,Republica Dominicana,23,Delantero centro
2017,Real Madrid,Gareth Bale,Gales,27,Extremo derecho
2017,Real Madrid,Cristiano Ronaldo,Portugal,32,Extremo izquierdo
2017,Real Madrid,Karim Benzema,Francia,29,Delantero centro
2017,Real Madrid,Álvaro Morata,España,24,Delantero centro
2017,Juventus,Neto,Brasil,27,Portero
2017,Juventus,Gianluigi Buffon ,Italia,39,Portero
2017,Juventus,Emil Audero,Italia,20,Portero
2017,Juventus,Mattia Del Favero,Italia,19,Portero
2017,Juventus,Leonardo Loria,Italia,18,Portero
2017,Juventus,Leonardo Bonucci,Italia,30,Defensa central 
2017,Juventus,Daniele Rugani,Italia,22,Defensa central 
2017,Juventus,Medhi Benatia,Marruecos,30,Defensa central 
2017,Juventus,Giorgio Chiellini,Italia,32,Defensa central 
2017,Juventus,Luca Marrone,Italia,27,Defensa central 
2017,Juventus,Andrea Barzagli,Italia,36,Defensa central 
2017,Juventus,Luca Coccolo,Italia,19,Defensa central 
2017,Juventus,Mattias Andersson,Suecia,19,Defensa central 
2017,Juventus,Alex Sandro,Brasil,26,Lateral izquierdo
2017,Juventus,Patrice Evra,Francia,36,Lateral izquierdo
2017,Juventus,Paolo De Ceglie,Italia,30,Lateral izquierdo
2017,Juventus,Dani Alves,Brasil,34,Lateral derecho
2017,Juventus,Stephan Lichtsteiner,Suiza,33,Lateral derecho
2017,Juventus,Federico Mattiello,Italia,21,Lateral derecho
2017,Juventus,Alessandro Semprini,Italia,22,Lateral derecho
2017,Juventus,Tomás Rincón,Venezuela,29,Mediocampista defensivo
2017,Juventus,Mario Lemina,Gabón,23,Mediocampista defensivo
2017,Juventus,Rolando Mandragora,Italia,20,Mediocampista defensivo
